Time,CH1MEAN,CH2MEAN,CH3MEAN,CH4MEAN,CH5MEAN,CH6MEAN,CH7MEAN,CH8MEAN,CH9MEAN,CH10MEAN,CH11MEAN,CH12MEAN,CH13MEAN,CH14MEAN,CH1STD,CH2STD,CH3STD,CH4STD,CH5STD,CH6STD,CH7STD,CH8STD,CH9STD,CH10STD,CH11STD,CH12STD,CH13STD,CH14STD,classification
21.0,4190.981581687953,4176.289575576808,4169.601356506374,4174.992994308499,4197.6181793213145,4160.40464210513,4179.987474441555,4191.8564758301045,4179.1331119537645,4173.247694015528,4174.81219863894,4179.972438812285,4176.831945419339,4225.899445533778,42.98343652419136,31.894414733770642,26.85071245910646,33.65740211083544,43.815381494644654,29.64280412188541,26.988819848464697,32.667886205848035,34.62257214487787,38.497881529085134,29.99424027413175,28.558452630370144,30.664715607499566,33.87252569779041,open_hand
22.0,4108.347358703636,4132.086347579979,4133.766529083279,4132.602657318137,4118.101980209374,4150.8157939911125,4142.041271209743,4127.1930112839,4116.616089820887,4120.5042982101695,4130.921472549468,4133.1480407715135,4124.167661666897,4153.347354888942,25.132731516258517,9.567073510252484,12.67370466172423,10.600109239237907,11.178376662277811,17.483521132737906,22.72430250792853,18.48293470980406,14.180103369565993,15.940242546231076,17.218168289447032,11.033907583830036,11.366154505683834,25.347290946936752,open_hand
23.0,4135.61598873141,4131.997201919577,4141.062191009546,4132.71283531192,4124.028951644925,4138.72996139529,4183.290754318263,4123.345361709618,4125.628512382533,4136.912057876615,4145.4913024902635,4137.744890213039,4137.236078262355,4192.421379089382,29.34222496939419,18.277515685046694,12.590501238213433,19.81426525757507,8.082979622752068,10.85621308249435,11.958762442501497,20.4999112834994,15.47730585141997,15.508587331466696,12.88153357617799,10.92379775439085,11.4693980095083,10.084442439454037,open_hand
24.0,4131.141830444361,4153.718948364284,4155.038578987145,4155.786252975492,4177.089344024684,4154.1506319046275,4180.752201080346,4145.433197975186,4150.755722045926,4153.956830978418,4142.5606079101835,4136.448837280293,4154.887820243861,4204.948442459132,24.829050995000976,27.571866119224932,27.779255586082776,30.089745752869547,30.647681198142923,19.818510377251833,20.569330369921254,28.540336804789966,26.522550056361986,27.470466017473257,28.216208960443147,30.84150052319398,27.743529964064873,21.820160667904318,open_hand
25.0,4159.019416809108,4156.165357589749,4153.217151641871,4157.914672851588,4136.725772857695,4154.09755516055,4152.394321441677,4158.318304061917,4143.218658447287,4158.42044830325,4134.575328826932,4172.512504577661,4146.403259277373,4192.039764404323,13.982658026060513,15.620347112529638,15.815720177573095,16.454184844428724,14.83707344556978,14.595298718614902,20.64613392900501,20.14842198103335,17.794707926513983,20.11700735298125,26.73199737127008,34.89779094992168,16.668429852552258,11.379904608339876,open_hand
26.0,4151.888532638578,4142.354751586941,4154.991979599028,4142.693304061921,4148.799074172999,4147.144918441797,4150.552873611476,4154.323410034205,4155.823324203518,4163.140010833766,4166.946109771755,4126.72725677493,4169.2437973022725,4203.65534782412,19.78764949639124,15.221542024564583,14.67059280806515,16.525021081886077,8.747678543757116,14.477734039869324,15.46503608707055,11.901682021606693,14.170296338366947,13.88259993655333,17.289885649274417,14.617115819142596,16.022340024021556,11.617843888178557,open_hand
27.0,4166.66015052798,4141.419763565088,4164.897338867213,4140.8238124847685,4157.790966033961,4163.234178543114,4154.398046493561,4156.033149719264,4166.602571487452,4166.47686576846,4186.806388855007,4163.019838333158,4171.099262237575,4215.66005134585,29.854645242395122,15.610324589993377,18.002600129632423,16.75804313759265,8.918715201336653,10.662237676743713,24.72245914394211,15.562020155261692,14.529882435957077,17.52502893215399,24.91011182823578,21.35098259660728,16.758422266480533,18.110814921077274,open_hand
28.0,4131.880010604886,4164.119585037257,4157.591640472441,4165.5874328613545,4163.214653015165,4165.046070098904,4157.715833663968,4165.389141082791,4172.793977737452,4161.869991302516,4147.353256225615,4187.467430114773,4166.237474441556,4216.30457878115,27.031699340171926,20.691506759380573,18.101516965789287,21.654832767675316,11.0069351538671,15.29550689024662,16.435145047630762,17.033264623731863,18.312186630468553,14.841179218378723,20.1217206741444,31.78064142701727,14.934691004489736,13.601533858804311,open_hand
29.0,4121.668166160608,4166.718240737939,4154.092073440581,4167.849569320707,4161.541450500514,4169.814207077053,4151.848449707055,4136.592550277738,4162.081834793119,4155.207836151147,4144.789144516018,4171.040670394924,4155.191806793239,4201.435297012352,12.46844733640122,12.44368796031682,17.64099769448021,13.489373090950409,7.233126179355187,9.685545194262716,13.363627902495809,12.429131907048,13.495564369696591,15.498453864156646,18.445916265483802,51.3434869455106,12.50861405575552,12.886822775287822,open_hand
30.0,4183.788555145289,4174.037963867214,4175.103179931668,4175.863882064845,4161.866992950465,4166.165868759179,4164.699516296414,4146.759813308742,4159.437095642115,4158.232149124169,4163.377422332789,4124.384510040309,4163.322813034085,4221.9681453705125,23.99138811427464,19.60108452883079,15.609060078313727,21.490384225190425,10.326264370149879,12.021351991021586,17.976111326382657,27.732923118481423,19.695343064894058,17.53287025479556,16.82679071243038,20.31802037346219,13.179260692049999,11.722608086816482,open_hand
